Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Client or book location indicator
170th St. in Morrisania The Bronx,40.8387004363497,-73.9137303829193,The Bronx,The Bronx,170th Street in Morrisania
W. 20th St.  Chelsea Manhattan,40.7405346630455,-73.9930325746536,Manhattan,Chelsea,West 20th bet Fifth and Sixth Ave
William St. and Wall St. Lower Manhattan,40.7064000000000,-74.0095000000000,Manhattan,Lower Manhattan,William Street toward Wall Street
W. Broadway and N. Moore St. TriBeCa Manhattan,40.7197000000000,-74.0059000000000,Manhattan,TriBeCa,West Broadway and North Moore Street
Central Park Manhattan,40.7747487271979,-73.9725083112716,Manhattan,Central Park,Central Park
Burned-out blocks in the Bronx,40.8343820842596,-73.9199316501617,The Bronx,The Bronx,burned-out blocks in the Bronx
Bensonhurst Brooklyn,40.6019000000000,-73.9938000000000,Brooklyn,Brooklyn,Bensonhurst
Strivers' Row Harlem Manhattan,40.8180396083858,-73.9442163705825,Manhattan,Harlem,"Strivers' Row, 138th st bet Powell and Douglass blvds"
Washington Square Park West Village Manhattan,40.7310718953207,-73.9968627691268,Manhattan,West Village,Washington Square Park
Rooftops Lower Manhattan,40.7082142493220,-74.0136587619781,Manhattan,Lower Manhattan,Rooftops of lower Manhattan
World Trade Center Lower Manhattan,40.7125489417478,-74.0147799253463,Manhattan,Lower Manhattan,World Trade Center
E. 6th St. East Village Manhattan,40.7255000000000,-73.9840000000000,Manhattan,East Village,East 6th Street
World Trade Center Lower Manhattan,40.7112640154449,-74.0112930536270,Manhattan,Lower Manhattan,World Trade Center
Hell's Kitchen Ninth Ave. Manhattan,40.7616096837484,-73.9903128147125,Manhattan,Midtown,Ninth Avenue in the 40s
123rd St. Harlem Manhattan,40.8009134398031,-73.9333695173263,Manhattan,Harlem,123rd Street near First Avenue
60 Baxter St. Lower Manhattan,40.7158470000000,-74.0005470000000,Manhattan,Lower Manhattan,Lincoln Center
Lincoln Center Upper West Side Manhattan,40.7724087537612,-73.9837628602981,Manhattan,Upper West Side,Lincoln Center
P.S. 6 (45 E. 81st St.) Upper East Side Manhattan,40.7775540000000,-73.9606940000000,Manhattan,Upper East Side,P.S. 6 - Madison Avenue and 81st street
Worth St. Lower Manhattan,40.7171000000000,-74.0063000000000,Manhattan,Lower Manhattan,"2 locations:
- Central Park
- Worth Street"
Coney Island Brooklyn,40.5746360217693,-73.9808070659637,Brooklyn,Brooklyn,Coney Island
Christopher St. Station Sheridan Square Manhattan,40.7336084393223,-74.0027958154678,Manhattan,West Village,Sheridan Square/Christopher Street Station
Manhattan Bridge Brooklyn,40.7050748775105,-73.9896100759506,Brooklyn,Brooklyn,Manhattan Bridge
Washington Heights Harlem Manhattan,40.8322877445507,-73.9463353157043,Manhattan,Harlem,Washington Heights
"Adjacent to Apollo Theater, W. 125th St. between 7th and 8th Aves Harlem, Manhattan",40.8100380000000,-73.9504500000000,Manhattan,Harlem,"Adjacent to Apollo Theater, 125th Street bet 7th and 8th Aves"
Midtown Manhattan,40.7552,-73.9733,Manhattan,Midtown,N/A
MoMA W. 53rd St. Manhattan,40.7611383525427,-73.9772021770477,Manhattan,Midtown,"MoMA, 53rd St bet 5th and 6th Aves"
The Bronx,40.8397420000000,-73.8809230000000,The Bronx,The Bronx,Bronx store
Manhattan,40.7572863136288,-74.0007412433624,Manhattan,Midtown,N/A
Hester St. and Baxter St. Little Italy Manhattan,40.7185000000000,-73.9988000000000,Manhattan,Lower Manhattan,Hester and Baxster Streets
Battery Park Lower Manhattan,40.7043591450871,-74.0147262811660,Manhattan,Lower Manhattan,Battery Park
MacDougal St. SoHo Manhattan,40.7316491301789,-73.9991319179534,Manhattan,SoHo,"MacDougle Street, SoHo"
Grand Central Station 87 E. 42nd St. Manhattan,40.7524120000000,-73.9779790000000,Manhattan,Midtown,Grand Central Station - 42nd Street
Guggenheim Museum E. 88th St. and Fifth Ave. Manhattan,40.7825724148694,-73.9593493938446,Manhattan,Upper East Side,"Guggenheim Museum, 88th and Fifth"
1414 Broadway Midtown Manhattan,40.7537670000000,-73.9868660000000,Manhattan,Midtown,39th Street and Broadway
Times Square Manhattan,40.7581965201794,-73.9851200580596,Manhattan,Times Square,Times Square
Fifth Ave. and 66th St. Central Park Manhattan,40.7687000000000,-73.9698000000000,Manhattan,Central Park,Central Park
Brooklyn Bridge,40.7064575206375,-73.9972758293151,Brooklyn,Brooklyn,Brooklyn Bridge
Subway ,40.7186072791303,-73.9883601665496,Manhattan,Lower East Side,Subway 
Grant's Tomb Harlem Manhattan,40.8127049032854,-73.9631044864654,Manhattan,Harlem,Harlem
MacDougal St. West Village Manhattan,40.7293645516419,-74.0010362863540,Manhattan,West Village,MacDougal Street
Roosevelt Island Tramway Manhattan,40.7583590557521,-73.9569461345672,Manhattan,Roosevelt Island,Roosevelt Island Tramway
New York City Bus Manhattan,40.7226892304649,-73.9889395236969,Manhattan,Lower East Side,44th St bet. 8th Avenue and Broadway
Carmines 200 W. 44th St.  Manhattan,40.7573675825775,-73.9867079257965,Manhattan,Times Square,44th St bet. 8th Avenue and Broadway
Grand Central Terminal Midtown Manhattan,40.7531089558720,-73.9769876003265,Manhattan,Midtown,Grand Central Station
Little Italy Manhattan,40.7181356431236,-73.9979088306427,Manhattan,Lower East Side,"3 locations:
- Upper Bay
- Little Italy 
- Skating rink at Rockefeller Center"
"Hoboken, New Jersey View of Manhattan",40.7471269126642,-74.0249776840210,Manhattan,New York Harbor,"Hoboken, New Jersey"
Carnegie Deli Seventh Ave. and W. 55th St. Manhattan,40.7642000000000,-73.9810000000000,Manhattan,Midtown,Carnegie Deli - 7th Avenue at 55th Street
Near Bethesda Fountain Central Park Manhattan,40.7742612395281,-73.9705234766006,Manhattan,Central Park,Central Park
World Trade Center Lower Manhattan,40.7129230295553,-74.0131491422653,Manhattan,Lower Manhattan,World Trade Center
Lower East Side Manhattan,40.7205700000000,-73.9859530000000,Manhattan,Lower East Side,Lower East Side
Rockefeller Center 600 Fifth Ave. Manhattan,40.7576030000000,-73.9781010000000,Manhattan,Midtown,Rockefeller Center
Dean and Deluca SoHo Manhattan,40.7253670000000,-73.9997020000000,Manhattan,SoHo,"SoHo, Dean and Deluca"
E. 11th St. between Ave. A and Ave. B East Village Manhattan,40.7279579927492,-73.9806514978408,Manhattan,East Village,11th Street bet Avenue A and Avenue B
Winter Garden Theater 1634 Broadway Manhattan,40.7615280000000,-73.9838020000000,Manhattan,Midtown,"Winter Garden Theater, Saks Fifth Avenue"
Coney Island Boardwalk Brooklyn,40.5722319682892,-73.9839559793472,Brooklyn,Brooklyn,Coney Island/Brighton Beach Boardwalk
Fifth Ave. and E. 62nd St. Upper East Side Manhattan,40.7661000000000,-73.9717000000000,Manhattan,Upper East Side,Phone Booth: Fifth Ave and 62nd Street
"The Dakota 72nd St. and Central Park West Manhattan
",40.7763900000000,-73.9760690000000,Manhattan,Upper West Side,"The Dakota, 72nd Street and Central Park West"
"The Dakota 72nd St. and Central Park West Manhattan
",40.7765605250179,-73.9761507511138,Manhattan,Upper West Side,"The Dakota, 72nd Street and Central Park West"
4th Ave. and 86th St. Bay Ridge Brooklyn,40.6228000000000,-74.0284000000000,Brooklyn,Brooklyn,"Fourth Avenue and 86th Street, Bay Ridge"
Subway Car Brooklyn,40.6260702046750,-73.9970237016677,Brooklyn,Brooklyn,"Fourth Avenue and 86th Street, Bay Ridge"
Washington Square Park West Village Manhattan,40.7310718953207,-73.9992874860763,Manhattan,West Village,Washington Square Park
"Williamsburg Tenaments Brooklyn
",40.7075798804205,-73.9652019739151,Brooklyn,Brooklyn,Williamsburgh teNaments
Kaufman Astoria Studios Astoria Queens,40.7575990000000,-73.9236710000000,Queens,Queens,Kaufman Astoria Studios
Magnolia Bakery 401 Bleecker St. Manhattan,40.7358034474271,-74.0050166845321,Manhattan,West Village,Magnolia Bakery: Bleeker Street
MoMA W. 53rd St. Manhattan,40.7608458004581,-73.9764726161956,Manhattan,Midtown,N/A
Seventh Ave. and W. 42nd St. Times Square Manhattan,40.7560000000000,-73.9870000000000,Manhattan,Times Square,7th avenue at 42nd Street
New York County Courthouse 60 Centre St. Lower Manhattan,40.7144510000000,-74.0023290000000,Manhattan,Lower Manhattan,New York County Courthouse: 60 Centre St
McHales Pub W. 46th and Eighth Ave. Manhattan,40.7597405920739,-73.9875447750091,Manhattan,Midtown,"McHales Pub, 46th and Columbus"
Ansonia Hotel 2109 Broadway Manhattan,40.7799560000000,-73.9818810000000,Manhattan,Upper West Side,Ansonia Hotel - 30th Street bet 7th and 8th Aves
Central Park Manhattan,40.7715068669966,-73.9690428972244,Manhattan,Central Park,NEAR Fifth Ave & 70th St. in Central Park
Metropolitan Museum of Art Fifth Ave. at 82nd St.,40.7790790856402,-73.9626109600067,Manhattan,Upper East Side,Metropolitan Museum of Art - Fifth Avenue at 82nd St
"W. 47th St., near Pier 87 Manhattan",40.7646163731163,-73.9974367618560,Manhattan,Midtown,"West 47th Street, near Pier 87"
"W. 47th St., near Pier 87 Manhattan",40.7647463890479,-73.9979088306427,Manhattan,Midtown,"West 47th Street, near Pier 87"
Lower East Side Manhattan,40.7185400000000,-73.9891800000000,Manhattan,Lower East Side,Lower East Side
Prospect Park and 16th St. Windsor Terrace Brooklyn,40.6572584437698,-73.9746111631393,Brooklyn,Brooklyn,Prospect Park West and 16th Street in Windsor Terrace
101 Rugby Rd. Brooklyn,40.6473340000000,-73.9663730000000,Brooklyn,Brooklyn,"101 Rugby Road, Brooklyn, NY"
Midtown Manhattan,40.7525887995655,-73.9797556400299,Manhattan,Midtown,
Midtown Manhattan,40.7566849203205,-73.9785540103912,Manhattan,Midtown,
Sunnyside Queens,40.7482323307470,-73.9139986038208,Queens,Queens,Sunnyside
Pier 17 Manhattan,40.7046844789603,-74.0020716190338,Manhattan,Lower Manhattan,Pier 17
Hell's Kitchen Manhattan,40.7603744638357,-73.9912569522857,Manhattan,Upper West Side,Hell's Kitchen
Edgecomb Ave. Harlem Manhattan,40.8294302441349,-73.9396405220031,Manhattan,Harlem,"Edgecomb Avenue, Harlem"
"CBGB's  315 Bowery (at Bleecker) East Village, Manhattan",40.7250340000000,-73.9920670000000,Manhattan,SoHo,CBGB's 315 Bowery
Tiffany & Co. 727 Fifth Ave. Manhattan,40.7627961233669,-73.9738762378692,Manhattan,Midtown,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Remsen St. and Montague Terrace Brooklyn Heights Brooklyn,40.6950000000000,-73.9977000000000,Brooklyn,Brooklyn,Brooklyn Height Promenade: Remsen St. and Montague Terrace
Manhattan ,40.7577983063470,-73.9755660295486,Manhattan,Midtown,Manhattan 
E. 12th St. and Third Ave. East Village Manhattan,40.7320000000000,-73.9882000000000,Manhattan,East Village,12th Street off Third Avenue
Bellmore Cafeteria Park Ave. South and E. 28th St. Manhattan,40.7433500000000,-73.9840500000000,Manhattan,Midtown,"Bellmore Cafeteria, Park Avenue South at 28th St"
Columbus Ave. and E. 86th St. Upper West Side Manhattan,40.7865000000000,-73.9722000000000,Manhattan,Upper West Side,Near Columbus Ave and 86th Street
E. 91st St. and Fifth Ave. Upper East Side Manhattan,40.7847000000000,-73.9581000000000,Manhattan,Upper East Side,91st street and Fifth Avenue
Marine Midlane Bank 140 Broadway Lower Manhattan,40.7089720000000,-74.0105180000000,Manhattan,Lower Manhattan,Marine Midlane Bank building 140 Broadway bet Liberty st and Ceder st
Central Park Manhattan,40.7732618786226,-73.9711081981659,Manhattan,Central Park,Central Park near Naumberg Bandshell seating
Forest Hills,40.7294030000000,-73.8454550000000,Queens,Queens,N/A
E. 74th St. and Park Ave. Upper East Side Manhattan,40.7724500000000,-73.9629000000000,Manhattan,Upper East Side,74th street and Park Avenue
Ellis Island New York Harbor,40.6973640824354,-74.0411996841430,Manhattan,New York Harbor,New York Bay - Ellis Island
W. 46th St. and Eighth Ave. Midtown Manhattan,40.7598000000000,-73.9879000000000,Manhattan,Midtown,46th and 8th Avenue
E. 6th St. between First Ave. & Ave. A East Village Manhattan,40.7259741250466,-73.9851897954940,Manhattan,East Village,6th St. between 1st Ave and Avenue A
Manhattan Bridge,40.7094016415368,-73.9918309450149,Manhattan,Lower Manhattan,Manhattan Bridge
Chinatown Manhattan,40.7150048711311,-73.9988690614700,Manhattan,Chinatown,Chinatown
Grand Central Station 87 E. 42nd St. Manhattan,40.7527025841052,-73.9772665500640,Manhattan,Midtown,Grand Central Station - 42nd Street
Bay 50th St. Station Brooklyn,40.5886022710420,-73.9837574958801,Brooklyn,Brooklyn,86th Street from Bay 50th St. Station to 62nd St Station
E. 6th St. and Ave. A East Village Manhattan,40.7253968409595,-73.9837843179702,Manhattan,East Village,
358 Chauncy St. Bensonhurst Brooklyn,40.6815010000000,-73.9187530000000,Brooklyn,Brooklyn,"358 Chauncy Street, Bensonhurst"
W. 14th St. and Hudson St. West Village Manhattan,40.7405915656527,-74.0054619312286,Manhattan ,West Village,Greenwich Village flower shop
United Nations First Ave. and E. 45th St. Manhattan,40.7506706880159,-73.9679539203643,Manhattan,Midtown,United nations
51 Prospect Pl. Brooklyn,40.6796209846076,-73.9760380983352,Brooklyn,Brooklyn,"51 Prospect Place, off Sixth Avenue"
51 Prospect Pl. Brooklyn,40.6797280000000,-73.9759740000000,Brooklyn,Brooklyn,"51 Prospect Place, off Sixth Avenue"
Ed Sullivan Theatre 1697 Broadway Manhattan,40.7637190000000,-73.9828330000000,Manhattan,Midtown,1697 Broadway
Third Ave. from E. 55th to 110th St. Upper East Side to E. Harlem Manhattan,40.7590000000000,-73.9685000000000,Manhattan,Upper East Side,"Third Avenue from 55th to 110th Street,"
Williamsburg Bridge Brooklyn,40.7113209430845,-73.9645743370056,Brooklyn,Brooklyn,Williamsburg Bridge
"E. 26th St. near Second Ave. Manhattan
",40.7397010000000,-73.9789350000000,Manhattan,Midtown,26th Street bet First and Second Aves.
Central Park Manhattan,40.7897047351501,-73.9606583118438,Manhattan,Central Park,Central Park
W. 72nd St. and Broadway Upper West Side Manhattan,40.7788000000000,-73.9821000000000,Manhattan,Upper West Side,72nd street and Broadway
Park Ave. and E. 116th St. Harlem Manhattan,40.7993500000000,-73.9432500000000,Manhattan,Harlem,Park Avenue and 116th Street
Brighton Beach Boardwalk Brooklyn,40.5748886461028,-73.9637643098831,Brooklyn,Brooklyn,Brighton Beach Boardwalk
Columbus Ave. near W. 75th St. Upper West Side Manhattan,40.7794000000000,-73.9774000000000,Manhattan,Upper West Side,Columbus Ave near 75th Street
Second Ave. and E. 87th St. Upper East Side Manhattan,40.7786000000000,-73.9513000000000,Manhattan,Upper East Side,2nd Avenue at 87th Street
East 80's Upper East Side Manhattan,40.7770804937423,-73.9539206027984,Manhattan,Upper East Side,Lincoln Center - Columbus Avenue & 61st Street
Lincoln Center Plaza Upper West Side Manhattan,40.7723437533226,-73.9834195375442,Manhattan,Upper West Side,Lincoln Center - Columbus Avenue & 61st Street
Lincoln Center Plaza Upper West Side Manhattan,40.7721487516255,-73.9831942319870,Manhattan,Upper West Side,Lincoln Center Plaza
Manhattan,40.7542142745118,-73.9690482616424,Manhattan,Midtown,N/A
Convent Ave. and 144th St. Hamilton Heights Manhattan,40.8240000000000,-73.9467000000000,Manhattan,Harlem,"Covent Avenue and 144th Street, Hamilton Heights"
Lexington Ave. between 51st St. and 52nd St. Midtown Manhattan,40.7574488514269,-73.9716392755508,Manhattan,Midtown,Lexington Avenue between 51st and 52nd Streets
Greenpoint Brooklyn,40.7302507497813,-73.9543604850769,Brooklyn,Brooklyn,"Brooklyn Bridge, Greenpooint"
"Empire Stores Park Brooklyn Bridge
",40.7040890000000,-73.9936170000000,Brooklyn,Brooklyn,F.A.O. Schwarz - 58th and Fifth Avenue
Museum of Natural History W. 79th St. and Central Park West Manhattan,40.7809963774517,-73.9724546670913,Manhattan,Upper West Side,Museum of natural History 81st and Central Park West
Subway near Court St. Brooklyn,40.6930772101225,-73.9907366037368,Brooklyn,Brooklyn,Subway near Court St.
Astroland Coney Island  Brooklyn,40.5746441709563,-73.9788597822189,Brooklyn,Brooklyn,Coney Island boardwalk
Subway Car Coney Island Brooklyn,40.5757606001838,-73.9812737703323,Brooklyn,Brooklyn,Coney Island boardwalk
World Trade Center Lower Manhattan,40.7109224485850,-74.0140503644943,Manhattan,Lower Manhattan,World Trade Center
Subway at 53rd St. and Fifth Ave. Midtown Manhattan,40.7605044880654,-73.9754641056060,Manhattan,Midtown,Subway at 53rd Street and Fifth Avenue
Riverside Drive Upper West Side Manhattan,40.8143126677903,-73.9618599414825,Manhattan,Harlem,North of 124th Street and Riverside Drive
W. 42nd St. between Seventh Ave. and Eighth Ave. Times Square Manhattan,40.7566849203205,-73.9884245395660,Manhattan,Times Square,Times Square
W. 42nd between Ninth Ave. and Tenth Ave. Midtown Manhattan,40.7591879809907,-73.9947760105133,Manhattan,Midtown,42nd between 9th and 10th Aves
Brooklyn Bridge,40.7056930038681,-73.9963048696518,Manhattan,Lower Manhattan,Brooklyn Bridge
East Harlem (El Barrio) Manhattan,40.7979246369325,-73.9422154426574,Manhattan,Harlem,East Harlem (El Barrio)
Carousel Central Park Manhattan,40.7705643416205,-73.9775240421295,Manhattan,Central Park,Central Park
Riverside Park near W. 109th St. Morningside Heights Manhattan,40.8051690029546,-73.9692091941833,Manhattan,Morningside Heights,Riverside Park
Astroland Coney Island  Brooklyn,40.5740248299205,-73.9788812398910,Brooklyn,Brooklyn,Coney Island
W. 45th St. and Seventh Ave. Times Square Manhattan,40.7578714478420,-73.9853990077972,Manhattan,Times Square,Times Square
New York Stock Exchange Exchange Place Lower Manhattan,40.7060508638740,-74.0105634927749,Manhattan,Lower Manhattan,New York Stock Exchange - Exchange place near broadway
